genotype,Treatment,biomass
RIL001,subamb,0.31
RIL002,subamb,0.06
RIL003,subamb,0.12
RIL004,subamb,0.04
RIL005,subamb,0.19
RIL006,subamb,0.24
RIL007,subamb,0.06
RIL008,subamb,0.15
RIL009,subamb,0.2
RIL010,subamb,0.08
RIL011,subamb,NA
RIL012,subamb,0.05
RIL013,subamb,0.08
RIL015,subamb,0.3
RIL016,subamb,0.3
RIL017,subamb,0.09
RIL018,subamb,0.15
RIL019,subamb,0.23
RIL020,subamb,0.34
RIL021,subamb,0.22
RIL022,subamb,0.05
RIL023,subamb,0.15
RIL024,subamb,NA
RIL025,subamb,0.07
RIL026,subamb,0.32
RIL027,subamb,0.14
RIL028,subamb,NA
RIL029,subamb,0.4
RIL030,subamb,NA
RIL031,subamb,0.11
RIL032,subamb,0.07
RIL033,subamb,0.06
RIL034,subamb,0.15
RIL035,subamb,0.15
RIL036,subamb,NA
RIL037,subamb,0.39
RIL038,subamb,0.25
RIL041,subamb,NA
RIL042,subamb,0.1
RIL043,subamb,0.3
RIL044,subamb,0.21
RIL045,subamb,NA
RIL047,subamb,0.11
RIL048,subamb,0.24
RIL049,subamb,0.16
RIL050,subamb,0.12
RIL051,subamb,0.08
RIL052,subamb,NA
RIL053,subamb,0.07
RIL054,subamb,0.36
RIL055,subamb,0.13
RIL056,subamb,0.33
RIL057,subamb,0.24
RIL058,subamb,0.12
RIL059,subamb,0.23
RIL060,subamb,0.06
RIL061,subamb,0.19
RIL062,subamb,0.19
RIL063,subamb,NA
RIL064,subamb,0.15
RIL065,subamb,0.07
RIL066,subamb,0.06
RIL068,subamb,0.42
RIL069,subamb,0.36
RIL070,subamb,0.31
RIL071,subamb,0.04
RIL072,subamb,0.13
RIL073,subamb,0.33
RIL074,subamb,NA
RIL076,subamb,0.12
RIL077,subamb,0.14
RIL078,subamb,0.15
RIL079,subamb,0.08
RIL080,subamb,0.09
RIL081,subamb,0.43
RIL082,subamb,0.05
RIL083,subamb,0.16
RIL084,subamb,0.16
RIL085,subamb,NA
RIL086,subamb,0.08
RIL087,subamb,NA
RIL088,subamb,0.08
RIL089,subamb,0.1
RIL090,subamb,0.27
RIL091,subamb,0.18
RIL092,subamb,0.23
RIL094,subamb,0.11
RIL095,subamb,0.2
RIL096,subamb,0.24
RIL097,subamb,0.14
RIL098,subamb,0.18
RIL099,subamb,0.13
RIL100,subamb,0.18
RIL101,subamb,0.13
RIL102,subamb,0.31
RIL103,subamb,0.21
RIL104,subamb,0.14
RIL106,subamb,0.18
RIL107,subamb,NA
RIL108,subamb,0.19
RIL109,subamb,0.09
RIL111,subamb,0.07
RIL112,subamb,0.11
RIL113,subamb,0.19
RIL114,subamb,0.18
RIL115,subamb,0.07
RIL116,subamb,0.13
RIL117,subamb,0.11
RIL118,subamb,0.16
RIL119,subamb,0.24
RIL120,subamb,NA
RIL121,subamb,0.22
RIL122,subamb,0.16
RIL123,subamb,0.16
RIL124,subamb,0.24
RIL125,subamb,0.24
RIL126,subamb,0.44
RIL127,subamb,0.09
RIL128,subamb,0.21
RIL129,subamb,0.19
RIL130,subamb,0.35
RIL131,subamb,0.13
RIL132,subamb,0.33
RIL135,subamb,NA
RIL136,subamb,0.15
RIL137,subamb,0.12
RIL138,subamb,0.16
RIL139,subamb,0.13
RIL140,subamb,0.06
RIL141,subamb,NA
RIL142,subamb,0.24
RIL143,subamb,0.35
RIL144,subamb,NA
RIL145,subamb,0.08
RIL146,subamb,0.32
RIL147,subamb,0.36
RIL149,subamb,0.28
RIL150,subamb,0.28
RIL152,subamb,0.12
RIL153,subamb,0.08
RIL154,subamb,0.27
RIL155,subamb,0.2
RIL156,subamb,0.1
RIL157,subamb,0.28
RIL158,subamb,0.17
RIL159,subamb,NA
RIL160,subamb,0.1
RIL161,subamb,NA
RIL162,subamb,0.09
RIL163,subamb,0.36
RIL164,subamb,0.19
RIL165,subamb,0.09
RIL166,subamb,0.25
RIL168,subamb,0.22
RIL169,subamb,0.18
RIL170,subamb,0.33
RIL171,subamb,0.1
RIL172,subamb,0.07
RIL173,subamb,0.2
RIL174,subamb,0.08
RIL175,subamb,NA
RIL176,subamb,0.2
RIL181,subamb,0.15
RIL182,subamb,0.3
RIL183,subamb,0.26
Bd_3_1,subamb,0.3
Bd_21,subamb,0.09
RIL001,ambient,0.32
RIL002,ambient,0.28
RIL003,ambient,0.75
RIL004,ambient,0.39
RIL005,ambient,0.61
RIL006,ambient,0.51
RIL007,ambient,0.22
RIL008,ambient,0.36
RIL009,ambient,1.47
RIL010,ambient,0.39
RIL011,ambient,0.72
RIL012,ambient,0.16
RIL013,ambient,0.45
RIL015,ambient,0.56
RIL016,ambient,0.84
RIL017,ambient,0.29
RIL018,ambient,0.64
RIL019,ambient,0.74
RIL020,ambient,1.35
RIL021,ambient,0.27
RIL022,ambient,0.32
RIL023,ambient,0.66
RIL024,ambient,NA
RIL025,ambient,0.35
RIL026,ambient,1.21
RIL027,ambient,0.8
RIL028,ambient,NA
RIL029,ambient,0.65
RIL030,ambient,NA
RIL031,ambient,0.5
RIL032,ambient,0.3
RIL033,ambient,0.33
RIL034,ambient,0.86
RIL035,ambient,0.14
RIL036,ambient,NA
RIL037,ambient,0.57
RIL038,ambient,1.1
RIL041,ambient,NA
RIL042,ambient,0.92
RIL043,ambient,0.46
RIL044,ambient,1.03
RIL045,ambient,NA
RIL047,ambient,0.55
RIL048,ambient,1.32
RIL049,ambient,1.3
RIL050,ambient,0.69
RIL051,ambient,0.8
RIL052,ambient,NA
RIL053,ambient,0.68
RIL054,ambient,1.04
RIL055,ambient,0.87
RIL056,ambient,0.96
RIL057,ambient,0.71
RIL058,ambient,0.48
RIL059,ambient,1.55
RIL060,ambient,0.45
RIL061,ambient,0.94
RIL062,ambient,0.88
RIL063,ambient,1.37
RIL064,ambient,0.4
RIL065,ambient,0.57
RIL066,ambient,0.55
RIL068,ambient,1.19
RIL069,ambient,0.61
RIL070,ambient,1.42
RIL071,ambient,1.11
RIL072,ambient,0.43
RIL073,ambient,0.79
RIL074,ambient,NA
RIL076,ambient,0.83
RIL077,ambient,1.12
RIL078,ambient,0.69
RIL079,ambient,0.8
RIL080,ambient,0.25
RIL081,ambient,1.22
RIL082,ambient,0.29
RIL083,ambient,0.48
RIL084,ambient,0.97
RIL085,ambient,NA
RIL086,ambient,0.41
RIL087,ambient,NA
RIL088,ambient,1.26
RIL089,ambient,1.31
RIL090,ambient,0.86
RIL091,ambient,0.39
RIL092,ambient,0.51
RIL094,ambient,0.47
RIL095,ambient,0.62
RIL096,ambient,NA
RIL097,ambient,0.37
RIL098,ambient,0.62
RIL099,ambient,0.92
RIL100,ambient,0.71
RIL101,ambient,0.58
RIL102,ambient,0.93
RIL103,ambient,1.49
RIL104,ambient,0.31
RIL106,ambient,0.85
RIL107,ambient,0.59
RIL108,ambient,0.43
RIL109,ambient,0.21
RIL111,ambient,0.43
RIL112,ambient,0.69
RIL113,ambient,0.52
RIL114,ambient,0.52
RIL115,ambient,0.36
RIL116,ambient,0.37
RIL117,ambient,0.36
RIL118,ambient,0.41
RIL119,ambient,1.41
RIL120,ambient,NA
RIL121,ambient,0.55
RIL122,ambient,NA
RIL123,ambient,0.89
RIL124,ambient,0.66
RIL125,ambient,0.84
RIL126,ambient,1.12
RIL127,ambient,0.69
RIL128,ambient,0.52
RIL129,ambient,0.92
RIL130,ambient,1.02
RIL131,ambient,0.67
RIL132,ambient,NA
RIL135,ambient,NA
RIL136,ambient,0.97
RIL137,ambient,0.92
RIL138,ambient,0.6
RIL139,ambient,0.3
RIL140,ambient,0.27
RIL141,ambient,NA
RIL142,ambient,1.17
RIL143,ambient,0.6
RIL144,ambient,0.98
RIL145,ambient,0.71
RIL146,ambient,1.26
RIL147,ambient,0.51
RIL149,ambient,1.36
RIL150,ambient,1
RIL152,ambient,0.65
RIL153,ambient,0.27
RIL154,ambient,0.85
RIL155,ambient,NA
RIL156,ambient,0.55
RIL157,ambient,NA
RIL158,ambient,0.66
RIL159,ambient,NA
RIL160,ambient,1.28
RIL161,ambient,NA
RIL162,ambient,1.13
RIL163,ambient,0.84
RIL164,ambient,1.35
RIL165,ambient,0.51
RIL166,ambient,0.78
RIL168,ambient,0.76
RIL169,ambient,0.77
RIL170,ambient,0.54
RIL171,ambient,0.4
RIL172,ambient,0.2
RIL173,ambient,0.86
RIL174,ambient,0.31
RIL175,ambient,NA
RIL176,ambient,1.24
RIL181,ambient,0.74
RIL182,ambient,NA
RIL183,ambient,0.87
Bd_3_1,ambient,0.88
Bd_21,ambient,0.68
RIL001,elevated,0.55
RIL002,elevated,0.21
RIL003,elevated,1.08
RIL004,elevated,0.26
RIL005,elevated,0.27
RIL006,elevated,0.59
RIL007,elevated,0.3
RIL008,elevated,0.18
RIL009,elevated,0.41
RIL010,elevated,0.83
RIL011,elevated,NA
RIL012,elevated,0.36
RIL013,elevated,0.37
RIL015,elevated,0.32
RIL016,elevated,1.23
RIL017,elevated,0.29
RIL018,elevated,0.58
RIL019,elevated,0.97
RIL020,elevated,0.46
RIL021,elevated,0.53
RIL022,elevated,0.42
RIL023,elevated,0.52
RIL024,elevated,NA
RIL025,elevated,0.48
RIL026,elevated,1.03
RIL027,elevated,0.82
RIL028,elevated,1.61
RIL029,elevated,0.51
RIL030,elevated,NA
RIL031,elevated,0.52
RIL032,elevated,0.41
RIL033,elevated,0.42
RIL034,elevated,0.54
RIL035,elevated,0.58
RIL036,elevated,0.76
RIL037,elevated,0.61
RIL038,elevated,1.37
RIL041,elevated,NA
RIL042,elevated,0.78
RIL043,elevated,0.73
RIL044,elevated,0.62
RIL045,elevated,NA
RIL047,elevated,0.95
RIL048,elevated,1.6
RIL049,elevated,0.81
RIL050,elevated,0.89
RIL051,elevated,0.47
RIL052,elevated,NA
RIL053,elevated,0.66
RIL054,elevated,0.67
RIL055,elevated,0.79
RIL056,elevated,1.18
RIL057,elevated,0.56
RIL058,elevated,0.44
RIL059,elevated,0.94
RIL060,elevated,1.21
RIL061,elevated,0.87
RIL062,elevated,0.79
RIL063,elevated,1.06
RIL064,elevated,0.49
RIL065,elevated,0.37
RIL066,elevated,0.39
RIL068,elevated,1.55
RIL069,elevated,0.99
RIL070,elevated,0.43
RIL071,elevated,1.02
RIL072,elevated,0.7
RIL073,elevated,1.21
RIL074,elevated,NA
RIL076,elevated,0.86
RIL077,elevated,0.77
RIL078,elevated,0.4
RIL079,elevated,0.92
RIL080,elevated,0.39
RIL081,elevated,NA
RIL082,elevated,0.19
RIL083,elevated,0.53
RIL084,elevated,0.56
RIL085,elevated,NA
RIL086,elevated,0.48
RIL087,elevated,NA
RIL088,elevated,0.66
RIL089,elevated,NA
RIL090,elevated,0.43
RIL091,elevated,0.28
RIL092,elevated,1.04
RIL094,elevated,0.47
RIL095,elevated,1.61
RIL096,elevated,0.23
RIL097,elevated,0.84
RIL098,elevated,0.35
RIL099,elevated,0.56
RIL100,elevated,1.12
RIL101,elevated,1.05
RIL102,elevated,0.67
RIL103,elevated,0.88
RIL104,elevated,0.66
RIL106,elevated,1.01
RIL107,elevated,0.95
RIL108,elevated,0.6
RIL109,elevated,0.55
RIL111,elevated,0.46
RIL112,elevated,0.53
RIL113,elevated,1.75
RIL114,elevated,1.25
RIL115,elevated,0.36
RIL116,elevated,0.56
RIL117,elevated,0.48
RIL118,elevated,0.73
RIL119,elevated,0.81
RIL120,elevated,NA
RIL121,elevated,1.16
RIL122,elevated,1.03
RIL123,elevated,0.66
RIL124,elevated,0.89
RIL125,elevated,1.45
RIL126,elevated,0.74
RIL127,elevated,0.55
RIL128,elevated,0.66
RIL129,elevated,1.11
RIL130,elevated,0.6
RIL131,elevated,0.62
RIL132,elevated,0.81
RIL135,elevated,NA
RIL136,elevated,0.91
RIL137,elevated,0.54
RIL138,elevated,0.63
RIL139,elevated,1.32
RIL140,elevated,0.21
RIL141,elevated,NA
RIL142,elevated,1.05
RIL143,elevated,0.93
RIL144,elevated,0.73
RIL145,elevated,0.45
RIL146,elevated,0.63
RIL147,elevated,0.86
RIL149,elevated,1.31
RIL150,elevated,0.86
RIL152,elevated,0.39
RIL153,elevated,0.4
RIL154,elevated,1.22
RIL155,elevated,0.89
RIL156,elevated,0.54
RIL157,elevated,1.44
RIL158,elevated,1.1
RIL159,elevated,NA
RIL160,elevated,0.6
RIL161,elevated,NA
RIL162,elevated,0.62
RIL163,elevated,0.83
RIL164,elevated,1.35
RIL165,elevated,0.76
RIL166,elevated,1.47
RIL168,elevated,1.24
RIL169,elevated,0.92
RIL170,elevated,1
RIL171,elevated,0.48
RIL172,elevated,0.63
RIL173,elevated,1.52
RIL174,elevated,0.44
RIL175,elevated,NA
RIL176,elevated,1.38
RIL181,elevated,0.48
RIL182,elevated,1.06
RIL183,elevated,0.35
Bd_3_1,elevated,0.66
Bd_21,elevated,0.67
